,Work Description,Units,Date
3286,NEW 12 PLEX/Demolish existing dwelling & build new 12 unit Multi-Family Building./VB/R-2,12,2021-07-01
3281,BLDG 3/NEW 24 UNIT APT BLDG/VB/R-2,24,2021-07-01
3280,BLDG 2/NEW 23 UNIT APT BLDG//VB/R-2,23,2021-07-01
3279,BLDG 1 /NEW 24 UNIT APT BLDG/VB/R-2,24,2021-07-01
3277,NEW 6 UNIT ROWHOUSE/VB/R-2Rev 01 - 07/14/2021: V5 REVIEW - 6/16/21 REVISION,6,2021-07-01
3276,NEW 6 UNIT ROWHOUSE/VB/R-2Rev 01 - 07/14/2021: V5 REVIEW - 6/16/21 REVISION,6,2021-07-01
3275,NEW 30 UNIT APT. BUILDING/VB/R-2/S-2Rev 01 - 07/14/2021: V5 REVIEW - 6/16/21 REVISION,30,2021-07-01
3151,MCNETT FLATS/ New Multi-Family Apartment Building/ 18 UNITS/ VB/ R2,18,2021-08-01
3152,MCNETT FLATS BLDG 2/NEW 18 UNIT APT BLDG/ VB/ R2,18,2021-08-01
3150,NEW 48 UNIT APT BLDG/VB/R-2,48,2021-08-01
2287,MCNETT FLATS BLDG #4/NEW 15 UNIT APT BLDG/ VB/ R2,15,2021-09-01
2289,MCNETT FLATS BLDG 6 LOT 2/NEW 24 units (3 floors of 8 units each)/ VB/ R2,24,2021-09-01
2286,MCNETT FLATS BLDG 3/NEW 18 UNIT APT BLDG/ VB/ R2,18,2021-09-01
2288,MCNETT FLATS BLDG 5 LOT 2/ NEW -24 units (3 floors of 8 units each)/ VB/ R2,24,2021-09-01
2406,BLDG 4 - NEW 36 UNIT APT BLDG/VB/R-2,36,2021-10-01
2409,MCNETT FLATS BLDG 8 LOT 5/NEW -24 units (3 floors of 8 units each)/ VB/ R2,24,2021-10-01
2407,NEW 6-PLEX/ VB/ R2,6,2021-10-01
2408,MCNETT FLATS BLDG 7 LOT 5/ NEW -24 units (3 floors of 8 units each)/ VB/ R2,24,2021-10-01
2410,MCNETT FLATS BLDG 9 LOT 5/NEW -24 units (3 floors of 8 units each)/ VB/ R2,24,2021-10-01
2416,MCNETT FLATS BLDG 14 LOT 3/NEW 18 PLEX (3 floors of 6 units each)/ VB/ R2,18,2021-10-01
2412,MCNETT FLATS BLDG 11 LOT 5/NEW -15 units (3 floors of 5 units each)/ VB/ R2,15,2021-10-01
2414,MCNETT FLATS BLDG 12 LOT 3/NEW 18 UNIT APT BLDG/ VB/ R2,18,2021-10-01
2415,MCNETT FLATS BLDG 13 LOT 3/ NEW 12 PLEX (3 floors of 4 units each)/ VB/ R2,12,2021-10-01
2420,NEW 8-PLEX/ VB/ R2,8,2021-10-01
2421,New 8-Plex/ VB/ R2,8,2021-10-01
2422,New 4-Plex/ VB/ R2,4,2021-10-01
2411,MCNETT FLATS BLDG 10 LOT 5/NEW -18 units (3 floors of 6 units each)/ VB/ R2,18,2021-10-01
2419,NEW 4-PLEX/ VB/ R2,4,2021-10-01
2514,MCNETT FLATS BLDG 16 LOT 4/NEW 30 units (3 floors of 10 units each) APT BLDG/,30,2021-11-01
2511,NEW TRI-PLEX/ VB/ R2,3,2021-11-01
2518,New 4-Plex/ VB/ R2Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION,4,2021-11-01
2519,New 6-Plex/ VB/ R2Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION,6,2021-11-01
2513,MULTIFAMILY/ Building #15/ 18 units (3 floors of 6 units each)/ VB/ R2,18,2021-11-01
2506,NEW 6-PLEX/ VB/ R2,6,2021-11-01
2604,BLDG E/NEW 6-PLEX/VB/R-2Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION,6,2021-12-01
2603,BLDG D/NEW 6-PLEX/VB/R-2Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION,6,2021-12-01
2648,"BLDG H/NEW 6-PLEX/VB/R-2
Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION",6,2022-01-01
2647,"BLDG G/NEW 6-PLEX/VB/R-2
Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION",6,2022-01-01
2646,"BLDG F/NEW 6-PLEX/VB/R-2
Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION",6,2022-01-01
2645,"BLDG A/NEW 6-PLEX/VB/R-2
Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION",6,2022-01-01
2644,"New 6-Plex/ VB/ R2
Rev 01 - 12/07/2021: 11/18/21 MECHANCIAL REVISION",6,2022-01-01
2643,BICKFORD APTS/NEW 14 APT BLDG/VB/R-2,14,2022-01-01
3093,NEW 8-PLEX/ BLDG U/VB/R-2,8,2022-02-01
3092,NEW 8-PLEX/BLDG V BROADWAY LOFTS/VB/R-2,8,2022-02-01
3088,HOGAN SENIOR LIVING/New Construction of a 4 story congregate living facility for seniors 55+./VB/R-2  36 Units,36,2022-02-01
2694,"NEW TRI-PLEX/ VB/ R2
Rev 01 - 01/05/2022: 12/13/21 REVISION TO ADD FIRE SPRINKLERS AND WATER SERVICE ROOM",3,2022-03-01
2695,NEW 18 PLEX/BLDG 21/VB/R-2,18,2022-03-01
2700,NEW 8-PLEX/BLDG R/VB/R-2,8,2022-03-01
2697,New 12-unit three story apartment building/ VB/ R2,12,2022-03-01
2698,NEW 6-PLEX/BLG T/VB/R-2,6,2022-03-01
2699,NEW 6-PLEX/BLDG S/VB/R-2,6,2022-03-01
2763,NEW 25-PLEX/BLDG 2/VB/R-2,25,2022-04-01
2762,NEW 22-PLEX + OFFICE/BLDG 23/VB/R-2/B,22,2022-04-01
2875,NEW 8-PLEX/BLDG N/VB/R-2,8,2022-05-01
2874,NEW 8-PLEX/BLDG O/VB/R-2,8,2022-05-01
2873,NEW 8-PLEX/BLDG P/VB/R-2,8,2022-05-01
2871,NEW 18-PLEX/BLDG 33/VB/R-2,18,2022-05-01
2870,NEW 24-PLEX/BLDG 32/VB/R-2,24,2022-05-01
2869,NEW 24-PLEX/BLDG 31/VB/R-2,24,2022-05-01
2868,NEW 18 PLEX/BLDG 20/VB/R-2,18,2022-05-01
2867,NEW 12-PLEX/BLDG 18/VB/R-2,12,2022-05-01
2872,NEW 8-PLEX/BLDG Q/VB/R-2,8,2022-05-01
2866,NEW 18-PLEX/BLDG 17/VB/R-2,18,2022-05-01
2975,BLDG 5 GRANT CREEK VILLAGE/NEW 25-PLEX/VA/R-2,25,2022-06-01
2,NEW 18-PLEX/BLDG 24/VB/R-2,18,2022-07-01
3,NEW 18-PLEX/BLDG 25/VB/R-2,18,2022-07-01
4,NEW 24-PLEX/BLDG 26/VB/R-2,24,2022-07-01
5,NEW 24-PLEX/BLDG 27/VB/R-2,24,2022-07-01
257,NEW 12-PLEX/BLDG 1/VB/R-2,12,2022-09-01
248,NEW 15-PLEX/BLDG 28/VB/R-2,15,2022-09-01
249,NEW 15-PLEX/BLDG 29/VB/R-2,15,2022-09-01
250,NEW 18-PLEX/BLDG 30/VB/R-2,18,2022-09-01
254,OTIS ST APTS BLDG 1 18-PLEX/VB/R-2,18,2022-09-01
255,OTIS ST APTS/NEW 21-PLEX/VB/R-2,21,2022-09-01
256,STRAND AVE APTS/NEW 13-PLEX/VB/R-2/U,13,2022-09-01
261,NEW TRI-PLEX/VB/R-2,3,2022-09-01
344,NEW 68-PLEX/VB/R-3,68,2022-10-01
348,NEW 4-PLEX/BLDG A/VB/R-2,4,2022-10-01
346,12-PLEX BLDG 2/NEW 12-PLEX/VB/R-2,12,2022-10-01
473,NEW 4-PLEX/BLDG B/VB/R-2,4,2022-11-01
617,HILLVIEW APTS BLDG C/NEW 42-PLEX/ VB/R-2,42,2023-02-01
613,HILLVIEW APTS BLDG D/NEW 42-PLEX/VB/R-2,42,2023-02-01
614,HILLVIEW APTS BLDG E/NEW 42-PLEX/VB/R-2,42,2023-02-01
615,HILLVIEW APTS BLDG A/NEW 42-PLEX/VB/R-2,42,2023-02-01
616,HILLVIEW APTS BLDG B/NEW 42-PLEX/ VB/R-2,42,2023-02-01
854,2021 CODES/NEW 12-PLEX/VB/R-2,12,2023-05-01
850,NEW 4-PLEX/VB/R-2,4,2023-05-01
984,NEW 8-PLEX/VB/R-2,8,2023-06-01
983,"NEW 9-PLEX/VB/R-2
Rev 01 - 12/07/2022: 9/13/22 REVISION, CRAWL SPACE TO SLAB ON GRADE, REMOVE 2ND SET OF STAIRS, CHANGE ROOF AND DECK FRAMING.
Rev 02 - 05/16/2023: 4/11/23 REVISION TO LIGHTING PLANS",9,2023-06-01
1129,NEW 16-PLEX/VB/R-2,16,2023-07-01
1262,2021 CODES/BLDG B/NEW 8-PLEX/VB/R-2,8,2023-08-01
1247,2021 CODES/NEW 12-PLEX/VB/R-2,12,2023-08-01
1263,2021 CODES/BLDG A/NEW 6-PLEX/VB/R-2,6,2023-08-01
1679,2021 CODES/GRANT STREET 21-PLEX/NEW CONST/VB/R-2,21,2024-01-01
1786,2021 CODES/SNOWFARM 4-PLEX/NEW 4-PLEX/VB/R-2,4,2024-03-01
1877,2021 CODES/SNOWFARM 12-PLEX/VB/R-2,12,2024-04-01
1878,2021 CODES/SNOWFARM 6-PLEX/NEW 6-PLEX/VB/R-2,6,2024-04-01
2021,2021 CODES/SNOWFARM BLDG A/NEW 12-PLEX/VB/R-2,12,2024-05-01
2022,2021 CODES/SNOWFARM BLDG B/NEW 12-PLEX/VB/R-2,12,2024-05-01
2175,2021 CODES/SNOWFARM BLD 4 WEST/NEW 4-PLEX/VB/R-2,4,2024-06-01
2162,2021 CODES/SNOWFARM BLDG P/NEW 12-PLEX/VB/R-2,12,2024-06-01
2163,2021 CODES/SNOWFARM BLDG 2 WEST/NEW 6-PLEX/VB/R-2,6,2024-06-01
2164,2021 CODES/SNOWFARM BLDG 2 EAST/NEW 4-PLEX/VB/R-3,4,2024-06-01
2165,2021 CODES/SNOWFARM BLDG 3 WEST/NEW 4-PLEX/VB/R-2,4,2024-06-01
2166,2021 CODES/SNOWFARM BLDG 3 EAST/NEW 6-PLEX/VB/R-2,6,2024-06-01
2172,2021 CODES/SNOWFARM BLDG L/NEW 12-PLEX/VB/R-2,12,2024-06-01
2173,2021 CODES/SNOWFARM BLDG N/NEW 12-PLEX/VB/R-2,12,2024-06-01
2174,2021 CODES/SNOWFARM BLDG 4 EAST/NEW 6-PLEX/VB/R-2,6,2024-06-01
3427,2021 CODES/SNOWFARM BLDG K/NEW 12-PLEX/VB/R-2,12,2024-07-01
3426,2021 CODES/SNOWFARM/BLDG I/NEW 12-PLEX/VB/R-2,12,2024-07-01
3425,2021 CODES/BLDG H/NEW 12-PLEX/VB/R-2,12,2024-07-01
3424,2021 CODES/SNOWFARM/BLDG G/NEW 12-PLEX/VB/R-2,12,2024-07-01
3423,2021 CODES/SNOWFARM BLDG E/NEW 12-PLEX/VB/R-2,12,2024-07-01
3422,2021 CODES/SNOWFARM BLDG 6 WEST/NEW 6-PLEX/VB/R-2,6,2024-07-01
3421,2021 CODES/SNOWFARM BLDG 6 EAST/NEW 4-PLEX/VB/R-2,4,2024-07-01
3420,2021 CODES/SNOWFARM BLDG 5 WEST/NEW 6-PLEX/VB/R-2,6,2024-07-01
3419,2021 CODES/SNOWFARM BLDG 5 EAST/NEW 4-PLEX/VB/R-2,4,2024-07-01
3416,2021 CODES/SNOWFARM BLDG M/NEW 12-PLEX/VB/R-2,12,2024-07-01
3414,2021 CODES/SNOWFARM BLDG O/NEW 12-PLEX/VB/R-2,12,2024-07-01
3537,2021 CODES/SNOWFARM/BLDG F/NEW 12-PLEX/VB/R-2,12,2024-08-01
3538,2021 COCDES/SNOWFARM/BLDG J/NEW 12-PLEX/VB/R-2,12,2024-08-01
3976,2021 CODES/SNOWFARM BLDG D/NEW 12-PLEX/VB/R-2,12,2024-10-01
4268,2021 CODES/NEW 17-PLEX/VB/R-2,17,2024-11-01
4270,2021 CODES/NEW 8-PLEX/VB/R-2,8,2024-11-01
4271,2021 CODES/NEW 18-PLEX/VB/R-2,18,2024-11-01
4272,2021 CODES/NEW 12-PLEX/VB/R-2,12,2024-11-01
4385,2021 CODES / NEW 5-PLEX/VB/R-2,5,2024-12-01
